,query_id,true_dcg_k,nir_dcg_k,nir_ndcg_k
0,1,12.160511640158736,4.8870631501155986,0.40187973127517235
1,2,10.974631401387786,5.669100862650759,0.516564124598652
2,56,15.043307598781926,1.1605584217036249,0.07714782231785226
3,83,4.73635981605516,0.7124143742160444,0.150413904746241
4,97,14.749237375236953,1.1562593052715515,0.07839451463523385
5,100,10.010155622088694,0.6666666666666666,0.06659903120742508
6,171,3.200253195498065,0.38685280723454163,0.12088193764754122
7,189,10.676822288755362,0.6666666666666666,0.06244055100259447
8,196,11.216586721577205,1.0686215613240666,0.09527154631349419
9,212,12.449576466476625,3.0754486164537647,0.24703238899211746
10,213,10.384536579405916,2.0,0.19259405412142303
11,214,7.29796612770001,0.9463946303571862,0.12967923032214004
12,225,12.449576466476625,1.2920296742201793,0.10378101437420535
